import took 958ms
elaboration took 90.4ms
instantiate metavars took 3.35s
process pre-definitions took 82.8ms
elaboration took 1.79s
type checking took 86.9ms
type checking took 139ms
compilation (LCNF base) took 99.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.9ms
