Chips.MulChip.Defs	13.64	11.57	-2.07	-15.2%
Extracted.SubChip	4.12	2.08	-2.04	-49.5%
Chips.ShiftLeftChip.Core	31.12	29.16	-1.96	-6.3%
Operations.U16toU8OperationSafe	4.82	2.87	-1.95	-40.5%
Operations.AddrAddOperation.Populate	4.58	2.69	-1.89	-41.3%
Extracted.LtOperationSigned	3.78	1.95	-1.83	-48.4%
Chips.LoadWordChip.Bridge	4.87	3.11	-1.76	-36.1%
Operations.AddressOperation	6.55	4.79	-1.76	-26.9%
Chips.StoreHalfChip.Defs	5.29	3.61	-1.68	-31.8%
Extracted.ITypeReader	3.66	1.99	-1.67	-45.6%
Chips.ShiftRightChip.Math	4.42	2.83	-1.59	-36.0%
Extracted.ITypeReaderImmutable	3.44	1.89	-1.55	-45.1%
Operations.IsZeroWordOperation.Formal	4.57	3.06	-1.51	-33.0%
Extracted.AddressOperation	3.25	1.88	-1.37	-42.2%
Operations.AddOperation.Extracted	3.99	2.67	-1.32	-33.1%
Operations.LtOperationSigned.Extracted	3.71	2.40	-1.31	-35.3%
Operations.BitwiseOperation.RawSpec	3.46	2.22	-1.24	-35.8%
Chips.LoadByteChip.Defs	5.80	4.59	-1.21	-20.9%
Operations.SubOperation.Extracted	3.58	2.38	-1.20	-33.5%
WitnessTests.MulOperationWitnessVectors	24.16	23.07	-1.09	-4.5%
Readers.RTypeReader	6.01	4.94	-1.07	-17.8%
Chips.StoreWordChip.Defs	4.64	3.58	-1.06	-22.8%
Extracted.JTypeReader	2.98	1.92	-1.06	-35.6%
Chips.AddwChip.Formal	5.04	4.01	-1.03	-20.4%
Chips.AddChip.Formal	4.50	3.48	-1.02	-22.7%
Chips.DivRemChip.Extract	4.19	3.22	-0.97	-23.2%
Chips.SubChip.Formal	4.54	3.57	-0.97	-21.4%
Operations.BitwiseOperation.Extracted	3.25	2.31	-0.94	-28.9%
Chips.LoadHalfChip.Defs	5.12	4.21	-0.91	-17.8%
Operations.AddrAddOperation.Extracted	3.44	2.54	-0.90	-26.2%
Chips.AddiChip.Formal	4.19	3.31	-0.88	-21.0%
Chips.JalrChip.Defs	4.53	3.65	-0.88	-19.4%
Extracted.SubOperation	2.71	1.87	-0.84	-31.0%
Chips.LoadWordChip.Defs	5.00	4.19	-0.81	-16.2%
Chips.SubwChip.Formal	4.84	4.07	-0.77	-15.9%
Chips.BitwiseChip.Defs	5.08	4.33	-0.75	-14.8%
Extracted.AddOperation	2.65	1.90	-0.75	-28.3%
Extracted.U16toU8OperationSafe	2.60	1.86	-0.74	-28.5%
Chips.UTypeChip.Defs	3.49	2.76	-0.73	-20.9%
Operations.LtOperationUnsigned.Populate	2.71	1.98	-0.73	-26.9%
Extracted.BitwiseOperation	2.54	1.82	-0.72	-28.3%
Readers.ITypeReader	4.95	4.24	-0.71	-14.3%
Operations.MulOperation.Populate	2.67	1.99	-0.68	-25.5%
Extracted.AddrAddOperation	2.52	1.85	-0.67	-26.6%
Chips.MulChip.Formal	16.54	15.92	-0.62	-3.7%
Chips.StoreDoubleChip.Formal	4.34	3.72	-0.62	-14.3%
Operations.IsZeroWordOperation.Populate	2.46	1.85	-0.61	-24.8%
Chips.BitwiseChip.Formal	6.67	6.07	-0.60	-9.0%
Chips.SubwChip.Defs	2.88	2.28	-0.60	-20.8%
Foundations.Word	2.82	2.24	-0.58	-20.6%
Chips.ShiftRightChip.Dispatch	37.50	36.93	-0.57	-1.5%
WitnessTests.BitwiseOperationWitnessVectors	7.78	7.22	-0.56	-7.2%
Chips.AddwChip.Defs	2.85	2.32	-0.53	-18.6%
Chips.JalChip.Defs	3.37	2.86	-0.51	-15.1%
Operations.SubwOperation.Extracted	2.70	2.19	-0.51	-18.9%
Chips.LtChip.Defs	6.94	6.46	-0.48	-6.9%
Extracted.IsEqualWordOperation	2.32	1.86	-0.46	-19.8%
Readers.JTypeReader	4.12	3.68	-0.44	-10.7%
Operations.IsEqualWordOperation.RawSpec	2.31	1.89	-0.42	-18.2%
Operations.IsEqualWordOperation.Extracted	2.42	2.02	-0.40	-16.5%
Operations.LtOperationSigned.Populate	2.28	1.88	-0.40	-17.5%
Chips.SubChip.Defs	2.52	2.14	-0.38	-15.1%
Chips.LoadDoubleChip.Defs	3.68	3.31	-0.37	-10.1%
Extracted.U16toU8OperationUnsafe	2.18	1.82	-0.36	-16.5%
Chips.LoadX0Chip.Defs	4.97	4.62	-0.35	-7.0%
Extracted.SubwOperation	2.22	1.88	-0.34	-15.3%
Chips.ShiftLeftChip.Formal	5.83	5.51	-0.32	-5.5%
Operations.BitwiseOperation.Populate	2.55	2.23	-0.32	-12.5%
Extracted.IsZeroWordOperation	2.18	1.87	-0.31	-14.2%
Extracted.AddwOperation	2.19	1.89	-0.30	-13.7%
Operations.IsZeroWordOperation.Extracted	2.64	2.34	-0.30	-11.4%
Chips.AddChip.Defs	2.52	2.23	-0.29	-11.5%
Operations.AddwOperation.Extracted	2.73	2.44	-0.29	-10.6%
WitnessTests.IsEqualWordOperationWitnessVectors	4.04	3.75	-0.29	-7.2%
Chips.AddiChip.Defs	2.45	2.22	-0.23	-9.4%
Chips.SubwChip.Bridge	2.87	2.64	-0.23	-8.0%
Readers.MemoryAccess	3.62	3.40	-0.22	-6.1%
Chips.ShiftRightChip.Core	45.49	45.28	-0.21	-0.5%
Extracted.CPUState	2.05	1.85	-0.20	-9.8%
Operations.AddOperation.Populate	2.84	2.65	-0.19	-6.7%
Operations.IsEqualWordOperation.Populate	2.01	1.84	-0.17	-8.5%
Chips.StoreDoubleChip.Defs	3.41	3.25	-0.16	-4.7%
WitnessTests.AddOperationWitnessVectors	2.98	2.84	-0.14	-4.7%
WitnessTests.SubwOperationWitnessVectors	2.82	2.68	-0.14	-5.0%
Operations.IsZeroWordOperation.RawSpec	2.13	2.00	-0.13	-6.1%
Chips.ShiftRightChip.Bridge	2.95	2.83	-0.12	-4.1%
Chips.ProgramChip	2.04	1.93	-0.11	-5.4%
Operations.SubOperation.Populate	2.53	2.42	-0.11	-4.3%
Readers.CPUState	2.52	2.41	-0.11	-4.4%
WitnessTests.AddrAddOperationWitnessVectors	2.78	2.67	-0.11	-4.0%
Foundations.SailWrap	26.83	26.75	-0.08	-0.3%
WitnessTests.LtOperationUnsignedWitnessVectors	3.12	3.04	-0.08	-2.6%
Chips.LtChip.Formal	8.47	8.40	-0.07	-0.8%
Chips.ShiftLeftChip.Bridge	2.77	2.70	-0.07	-2.5%
Operations.IsZeroOperation.Formal	2.34	2.27	-0.07	-3.0%
WitnessTests.AddwOperationWitnessVectors	2.86	2.79	-0.07	-2.4%
WitnessTests.SubOperationWitnessVectors	2.84	2.77	-0.07	-2.5%
Chips.MulChip.Bridge	2.94	2.89	-0.05	-1.7%
Foundations.InteractionProjection	2.40	2.35	-0.05	-2.1%
Operations.IsZeroOperation.RawSpec	1.96	1.91	-0.05	-2.6%
Chips.UTypeChip.Bridge	2.72	2.68	-0.04	-1.5%
Foundations.ByteTable	2.08	2.04	-0.04	-1.9%
Operations.SubwOperation.Populate	1.90	1.86	-0.04	-2.1%
WitnessTests.IsZeroOperationWitnessVectors	1.83	1.79	-0.04	-2.2%
WitnessTests.IsZeroWordOperationWitnessVectors	2.22	2.18	-0.04	-1.8%
Chips.StoreWordChip.Bridge	2.90	2.87	-0.03	-1.0%
Chips.ShiftRightChip.Flags	2.58	2.56	-0.02	-0.8%
Chips.StoreHalfChip.Bridge	2.89	2.87	-0.02	-0.7%
Chips.SubChip.Bridge	2.60	2.58	-0.02	-0.8%
Extracted.U16CompareOperation	1.80	1.78	-0.02	-1.1%
Operations.IsZeroOperation.Populate	1.88	1.86	-0.02	-1.1%
WitnessTests.U16MSBOperationWitness	1.77	1.75	-0.02	-1.1%
Chips.DivRemChip.Formal	25.43	25.42	-0.01	-0.0%
Foundations.Misc	2.65	2.64	-0.01	-0.4%
Operations.IsZeroOperation.Extracted	2.02	2.01	-0.01	-0.5%
WitnessTests.AddrAddOperationWitness	1.80	1.79	-0.01	-0.6%
WitnessTests.SubOperationWitness	1.80	1.79	-0.01	-0.6%
WitnessTests.U16CompareOperationWitness	1.80	1.79	-0.01	-0.6%
Chips.AddChip.Bridge	2.57	2.60	+0.03	+1.2%
Chips.AddiChip.Bridge	2.58	2.64	+0.06	+2.3%
Chips.AddwChip.Bridge	2.60	2.66	+0.06	+2.3%
Chips.AluX0Chip.Bridge	3.09	3.15	+0.06	+1.9%
Chips.AluX0Chip.Defs	2.43	2.46	+0.03	+1.2%
Chips.AluX0Chip.Formal	3.33	3.35	+0.02	+0.6%
Chips.BitwiseChip.Bridge	2.63	2.64	+0.01	+0.4%
Chips.BranchChip.Bridge	4.07	4.19	+0.12	+2.9%
Chips.BranchChip.Decision	3.43	3.48	+0.05	+1.5%
Chips.ByteChip	1.80	1.88	+0.08	+4.4%
Chips.DivRemChip.Bridge	3.04	3.12	+0.08	+2.6%
Chips.DivRemChip.Math	1.98	2.07	+0.09	+4.5%
Chips.JalChip.Bridge	2.90	2.91	+0.01	+0.3%
Chips.JalrChip.Bridge	2.78	2.86	+0.08	+2.9%
Chips.LoadByteChip.Bridge	2.93	2.96	+0.03	+1.0%
Chips.LoadHalfChip.Bridge	2.89	3.01	+0.12	+4.2%
Chips.LoadX0Chip.Bridge	3.98	4.01	+0.03	+0.8%
Chips.LtChip.Bridge	2.70	2.71	+0.01	+0.4%
Chips.MemoryProvider	1.86	1.86	+0.00	+0.0%
Chips.ShiftRightChip.Formal	7.18	7.20	+0.02	+0.3%
Chips.StoreByteChip.Bridge	2.85	2.86	+0.01	+0.4%
Chips.StoreDoubleChip.Bridge	2.88	2.90	+0.02	+0.7%
Extracted.ExtractionDSL	2.03	2.07	+0.04	+2.0%
Extracted.IsZeroOperation	1.79	1.83	+0.04	+2.2%
Extracted.U16MSBOperation	1.80	1.83	+0.03	+1.7%
Foundations.Bitwise	8.85	8.94	+0.09	+1.0%
Foundations.Channels	2.80	2.86	+0.06	+2.1%
